#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321A363E3
#Date Time: 2017-09-20 15:02:48.755

Frequency (Hz),Channel 2 (dBV)
45421.245421245418,-72.117161879558424
45909.645909645908,-71.29920763193941
46398.046398046397,-72.134634912043055
46886.446886446887,-73.808682178417399
47374.847374847377,-73.595069944783972
47863.24786324786,-75.873407313072477
48351.648351648349,-87.768378885335906
48840.048840048839,-93.59511564624782
49328.449328449329,-82.975615666015671
49816.849816849819,-80.090716430026632
50305.250305250309,-74.403909891577726
50793.650793650791,-69.726774503522577
51282.051282051281,-68.215315019834918
51770.451770451771,-69.268345294645911
52258.852258852261,-71.060549537075445
52747.252747252751,-74.242143195465488
53235.653235653233,-78.279927861620976
53724.053724053723,-76.819322788372403
54212.454212454213,-77.564580360583733
54700.854700854703,-79.489911285847853
55189.255189255193,-86.090380971397394
55677.655677655675,-80.359690902718597
56166.056166056165,-84.207999665132874
56654.456654456655,-87.702681095933954
57142.857142857145,-83.422795411747913
57631.257631257635,-74.008963985726496
58119.658119658117,-43.007928087926729
58608.058608058607,-22.003907787573056
59096.459096459097,-12.583769304582965
59584.859584859587,-9.680285627279094
60073.260073260077,-9.4910099726592509
60561.660561660559,-9.967850303624795
61050.061050061049,-14.111358093915509
61538.461538461539,-25.609129237302668
62026.862026862029,-50.3778973779065
62515.262515262519,-72.621527548579692
63003.663003663001,-75.274856852856217
63492.063492063491,-78.46860565344366
63980.463980463981,-80.582000316026438
64468.864468864471,-88.762838816636034
64957.264957264961,-84.758210246511283
65445.665445665443,-82.044211309407657
65934.065934065933,-87.649625467669978
66422.466422466416,-86.41678325597826
66910.866910866913,-77.788367265140124
67399.267399267395,-74.587051268245247
67887.667887667893,-77.37548075846459
68376.068376068375,-77.023265981249963
68864.468864468858,-71.838736122448836
69352.869352869355,-68.270829799266053
69841.269841269837,-66.24509879703055
70329.670329670334,-66.332171750686598
70818.070818070817,-67.42843512560114
71306.4713064713,-68.628274815788529
71794.871794871797,-69.349940472332889
72283.272283272279,-70.538740871549635
72771.672771672776,-70.894055208469638
73260.073260073259,-70.754680840684557
73748.473748473742,-71.079012699452221
74236.874236874239,-70.291680307692403
74725.274725274721,-71.40085797366288
75213.675213675218,-75.772833656524426
75702.075702075701,-82.296432244540142
76190.476190476184,-88.39218203136997
76678.876678876681,-89.757591168080012
77167.277167277163,-86.603572633611194
77655.67765567766,-81.074430571015981
78144.078144078143,-55.42850177584679
78632.478632478626,-35.393309222912748
79120.879120879123,-26.312507871133192
79609.279609279605,-23.596362741456769
80097.680097680102,-23.433679192909832
80586.080586080585,-23.962572708430599
81074.481074481067,-28.291571501499547
81562.881562881565,-39.980778002054073
82051.282051282047,-61.398307898193352
82539.682539682544,-66.092940136906279
83028.083028083027,-67.772336821319854
83516.483516483509,-69.882449327524995
84004.884004884007,-72.988094403251452
84493.284493284489,-76.592920192349624
84981.684981684986,-92.231650944353731
85470.085470085469,-86.992184102291844
85958.485958485951,-84.032158832605433
86446.886446886449,-76.977824350543983
86935.286935286931,-71.312426093788361
87423.687423687428,-67.560781882521553
87912.087912087911,-67.477333310920443
88400.488400488393,-68.853474311520074
88888.888888888891,-70.38782957367188
89377.289377289373,-70.986413341178448
89865.68986568987,-69.806369057571032
90354.090354090353,-69.699272629876475
90842.490842490835,-68.549352091663451
91330.891330891332,-66.696432310871373
91819.291819291815,-66.104773953127108
92307.692307692312,-66.318107978216375
92796.092796092795,-67.701606764559173
93284.493284493277,-71.810580024998188
93772.893772893774,-73.284729183370814
94261.294261294257,-70.912524962147245
94749.694749694754,-68.771074652031828
95238.095238095237,-68.367657653594861
95726.495726495719,-69.761324020194053
96214.896214896216,-71.911615636948611
96703.296703296699,-76.4801221126923
97191.697191697196,-84.095790799261167
97680.097680097679,-81.113145884928713
98168.498168498161,-53.229240660970653
98656.898656898658,-34.505326165595108
99145.299145299141,-25.822145168105518
99633.699633699638,-23.290585737566246
100122.10012210012,-23.160225054843309
100610.50061050062,-23.782646621989294
101098.9010989011,-28.378083634719342
101587.30158730158,-40.602936430115292
102075.70207570208,-66.212150919094995
102564.10256410256,-72.030353879532655
103052.50305250306,-74.597538888292817
103540.90354090354,-80.762022519888376
104029.30402930402,-85.57101039716872
104517.70451770452,-83.297193141174475
105006.105006105,-79.977791691922391
105494.5054945055,-76.515501447743745
105982.90598290598,-74.552740885844145
106471.30647130647,-71.990544838280186
106959.70695970696,-68.814790774190755
107448.10744810745,-67.722993685167012
107936.50793650794,-68.713102598994837
108424.90842490843,-70.2768931305216
108913.30891330891,-71.560793366400389
109401.70940170941,-71.78934917852925
109890.10989010989,-71.015499743240184
110378.51037851039,-71.587001612959867
110866.91086691087,-73.303120354769959
111355.31135531135,-74.276606885225846
111843.71184371185,-72.020499246849482
112332.11233211233,-72.392653581724247
112820.51282051283,-70.690141356476403
113308.91330891331,-68.318669005185015
113797.31379731379,-68.356538804110713
114285.71428571429,-70.062134607697715
114774.11477411477,-72.728231699501521
115262.51526251527,-73.407567321022356
115750.91575091575,-75.078910110125662
116239.31623931623,-78.23557835268231
116727.71672771673,-76.066476898744341
117216.11721611721,-70.660798714716947
117704.51770451771,-69.370235348168862
118192.91819291819,-53.119008860033816
118681.31868131868,-34.267071667967535
119169.71916971917,-25.825493951868154
119658.11965811966,-23.463602837546315
120146.52014652015,-23.351268122282217
120634.92063492064,-24.040144725838317
121123.32112332112,-28.869493882229939
121611.72161172162,-41.482945300741051
122100.1221001221,-68.690460297074821
122588.5225885226,-74.365317573146356
123076.92307692308,-68.910309512369651
123565.32356532356,-67.607721699543575
124053.72405372406,-67.095315765373627
124542.12454212454,-66.549680577411877
125030.52503052504,-66.808890837879403
125518.92551892552,-66.87640736684952
126007.326007326,-67.469460638253722
126495.7264957265,-69.989132595092229
126984.12698412698,-76.858548220026137
127472.52747252748,-76.373706167556662
127960.92796092796,-73.553860177977541
128449.32844932844,-73.281488801129441
128937.72893772894,-76.877192804306716
129426.12942612942,-85.200163463794283
129914.52991452992,-73.634757335784172
130402.9304029304,-69.304642070932857
130891.33089133089,-68.256044737768434
131379.73137973138,-68.570706414670411
131868.13186813187,-69.970608279378197
132356.53235653235,-72.451266055376934
132844.93284493283,-75.781961445226344
133333.33333333334,-76.435006697157718
133821.73382173383,-75.451828534421267
134310.13431013431,-75.600606223055721
134798.53479853479,-72.531499738551716
135286.93528693527,-71.698536075682838
135775.33577533579,-73.797438674426672
136263.73626373627,-78.256374554699079
136752.13675213675,-84.987591435935258
137240.53724053723,-78.306371381015737
137728.93772893772,-75.17561179857131
138217.33821733823,-59.158920457481408
138705.73870573871,-39.982220283437492
139194.13919413919,-31.77893365769307
139682.53968253967,-29.583818787302441
140170.94017094016,-29.515171753802655
140659.34065934067,-30.313729795193396
141147.74114774115,-35.456814692393294
141636.14163614163,-48.998507062847708
142124.54212454212,-83.342764043980992
142612.9426129426,-84.371610839972959
143101.34310134311,-85.361853981266393
143589.74358974359,-80.491857996928516
144078.14407814408,-79.119977668278466
144566.54456654456,-79.526580837946369
145054.94505494504,-78.399797924975601
145543.34554334555,-77.276334298492685
146031.74603174604,-79.311115697810436
146520.14652014652,-80.556249963660832
147008.547008547,-82.159486961506815
147496.94749694748,-80.107056864305278
147985.34798534799,-77.700240233495236
148473.74847374848,-80.273583136250409
148962.14896214896,-79.763621993935729
149450.54945054944,-78.179498207563739
149938.94993894993,-82.68406542760259
150427.35042735044,-83.296366570326725
150915.75091575092,-83.34094144465891
151404.1514041514,-95.236849541862711
151892.55189255188,-83.403688291289058
152380.95238095237,-78.157455449733021
152869.35286935288,-76.611360787388364
153357.75335775336,-75.344497973138601
153846.15384615384,-73.528641284736537
154334.55433455433,-74.331304116067273
154822.95482295481,-75.777816325766935
155311.35531135532,-76.171463868462894
155799.7557997558,-76.270575193030254
156288.15628815629,-74.024271448563852
156776.55677655677,-73.681429854329792
157264.95726495725,-77.274465410796822
157753.35775335776,-79.419059059799395
158241.75824175825,-62.448301738774468
158730.15873015873,-43.253848371708784
159218.55921855921,-35.259783697418754
159706.95970695969,-33.161781521076918
160195.3601953602,-33.060076647857748
160683.76068376069,-33.913801507209527
161172.16117216117,-39.172372436067228
161660.56166056165,-52.239093324473927
162148.96214896213,-75.357678994334691
162637.36263736265,-95.335300277477742
163125.76312576313,-78.528094079421223
163614.16361416361,-74.514551514549822
164102.56410256409,-70.783996679768521
164590.96459096458,-69.717201304536317
165079.36507936509,-70.092745880546687
165567.76556776557,-69.919162913117944
166056.16605616605,-70.578949970118089
166544.56654456654,-75.377762253012889
